tic,datafqtr,cshoq,cshtrq,capxy,oiadpq,niq,xoprq,teqq,atq,epsfiq,cshoq,cshtrq,capxy,oiadpq,niq,xoprq,teqq,atq,epsfiq,gmrmexpq,gmrmrevq,hbinvfhq,hbinvludq,hbinvtq,hbloq,conm,revtq,sentiment_x,sentiment_y,SALE PRICE,Real GDP SA(billion),M2 SA(billion),M2-M1 Growth Gap(%),M2V,Prime Rate(%)
NMRK,2016Q3,,-2.803,,1142.439,,1142.439,,804.034,12.133,804.034,12.133,1657.93,-8.982,1657.93,-8.982,-0.02,-2.803,-0.02,,-2.803,,1142.439,,1142.439,,804.034,12.133,804.034,12.133,1657.93,-8.982,1657.93,-8.982,-0.02
NMRK,2016Q4,,168.401,,1123.52,,1123.52,,983.783,27.26,983.783,27.26,2534.688,153.008,2534.688,153.008,1.07,168.401,1.07,,168.401,,1123.52,,1123.52,,983.783,27.26,983.783,27.26,2534.688,153.008,2534.688,153.008,1.07
NMRK,2017Q1,,36.711,,277.294,,277.294,,983.783,27.26,983.783,27.26,2534.688,37.051,2534.688,37.051,0.16,36.711,0.16,,36.711,,277.294,,277.294,,983.783,27.26,983.783,27.26,2534.688,37.051,2534.688,37.051,0.16
NMRK,2017Q2,,55.145,,325.94,,325.94,,983.783,27.26,983.783,27.26,2534.688,55.913,2534.688,55.913,0.24,55.145,0.24,,55.145,,325.94,,325.94,,983.783,27.26,983.783,27.26,2534.688,55.913,2534.688,55.913,0.24
NMRK,2017Q3,150.504,98.807,150.504,346.189,,346.189,,1290.536,13.333,1290.536,13.333,2539.916,22.11,2539.916,22.11,0.44,98.807,0.44,150.504,98.807,150.504,346.189,,346.189,,1290.536,13.333,1290.536,13.333,2539.916,22.11,2539.916,22.11,0.44
NMRK,2017Q4,154.434,-46.171,154.434,422.551,15887597.0,422.551,15887597.0,222.318,19.069,222.318,19.069,2273.007,13.587,2273.007,13.587,-0.21,-46.171,-0.21,154.434,-46.171,154.434,422.551,15887597.0,422.551,15887597.0,222.318,19.069,222.318,19.069,2273.007,13.587,2273.007,13.587,-0.21
NMRK,2018Q1,154.762,19.997,154.762,360.525,38203833.0,360.525,38203833.0,531.577,1.714,531.577,1.714,3057.15,47.422,3057.15,47.422,0.12,19.997,0.12,154.762,19.997,154.762,360.525,38203833.0,360.525,38203833.0,531.577,1.714,531.577,1.714,3057.15,47.422,3057.15,47.422,0.12
NMRK,2018Q2,154.762,0.739,154.762,420.255,17997277.0,420.255,17997277.0,757.395,9.128,757.395,9.128,2837.139,26.163,2837.139,26.163,0.0,0.739,0.0,154.762,0.739,154.762,420.255,17997277.0,420.255,17997277.0,757.395,9.128,757.395,9.128,2837.139,26.163,2837.139,26.163,0.0
NMRK,2018Q3,154.779,68.237,154.779,423.016,16752648.0,423.016,16752648.0,988.3,10.786,988.3,10.786,3721.094,69.92,3721.094,69.92,0.43,68.237,0.43,154.779,68.237,154.779,423.016,16752648.0,423.016,16752648.0,988.3,10.786,988.3,10.786,3721.094,69.92,3721.094,69.92,0.43
NMRK,2018Q4,178.201,17.759,178.201,539.653,84471173.0,539.653,84471173.0,1056.799,21.016,1056.799,21.016,3454.157,62.892,3454.157,62.892,0.09,17.759,0.09,178.201,17.759,178.201,539.653,84471173.0,539.653,84471173.0,1056.799,21.016,1056.799,21.016,3454.157,62.892,3454.157,62.892,0.09
NMRK,2019Q1,178.708,16.904,178.708,371.842,77803752.0,371.842,77803752.0,1020.798,5.936,1020.798,5.936,3453.198,47.51,3453.198,47.51,0.08,16.904,0.08,178.708,16.904,178.708,371.842,77803752.0,371.842,77803752.0,1020.798,5.936,1020.798,5.936,3453.198,47.51,3453.198,47.51,0.08
NMRK,2019Q2,177.965,22.668,177.965,465.061,63295138.0,465.061,63295138.0,1016.003,10.74,1016.003,10.74,3506.858,52.992,3506.858,52.992,0.11,22.668,0.11,177.965,22.668,177.965,465.061,63295138.0,465.061,63295138.0,1016.003,10.74,1016.003,10.74,3506.858,52.992,3506.858,52.992,0.11
NMRK,2019Q3,176.275,88.698,176.275,491.068,48520396.0,491.068,48520396.0,978.913,23.447,978.913,23.447,3583.68,58.785,3583.68,58.785,0.48,88.698,0.48,176.275,88.698,176.275,491.068,48520396.0,491.068,48520396.0,978.913,23.447,978.913,23.447,3583.68,58.785,3583.68,58.785,0.48
NMRK,2019Q4,177.551,-10.965,177.551,586.035,51304033.0,586.035,51304033.0,940.625,34.526,940.625,34.526,3201.599,18.695,3201.599,18.695,-0.08,-10.965,-0.08,177.551,-10.965,177.551,586.035,51304033.0,586.035,51304033.0,940.625,34.526,940.625,34.526,3201.599,18.695,3201.599,18.695,-0.08
NMRK,2020Q1,177.988,8.182,177.988,423.644,87099899.0,423.644,87099899.0,920.933,9.849,920.933,9.849,3886.237,15.547,3886.237,15.547,0.03,8.182,0.03,177.988,8.182,177.988,423.644,87099899.0,423.644,87099899.0,920.933,9.849,920.933,9.849,3886.237,15.547,3886.237,15.547,0.03
NMRK,2020Q2,179.097,0.311,179.097,306.195,119298637.0,306.195,119298637.0,884.812,11.977,884.812,11.977,4132.238,47.575,4132.238,47.575,-0.01,0.311,-0.01,179.097,0.311,179.097,306.195,119298637.0,306.195,119298637.0,884.812,11.977,884.812,11.977,4132.238,47.575,4132.238,47.575,-0.01
NMRK,2020Q3,179.916,75.348,179.916,370.378,63859290.0,370.378,63859290.0,890.117,16.182,890.117,16.182,4678.612,37.02,4678.612,37.02,0.39,75.348,0.39,179.916,75.348,179.916,370.378,63859290.0,370.378,63859290.0,890.117,16.182,890.117,16.182,4678.612,37.02,4678.612,37.02,0.39
NMRK,2020Q4,182.461,-3.781,182.461,490.896,71141040.0,490.896,71141040.0,921.147,19.626,921.147,19.626,3982.45,78.55,3982.45,78.55,-0.03,-3.781,-0.03,182.461,-3.781,182.461,490.896,71141040.0,490.896,71141040.0,921.147,19.626,921.147,19.626,3982.45,78.55,3982.45,78.55,-0.03
NMRK,2021Q1,184.4,33.105,184.4,415.633,57365154.0,415.633,57365154.0,970.673,2.443,970.673,2.443,4000.733,67.294,4000.733,67.294,0.16,33.105,0.16,184.4,33.105,184.4,415.633,57365154.0,415.633,57365154.0,970.673,2.443,970.673,2.443,4000.733,67.294,4000.733,67.294,0.16
NMRK,2021Q2,201.022,439.744,201.022,948.519,51766852.0,948.519,51766852.0,1571.22,6.103,1571.22,6.103,4634.095,-349.516,4634.095,-349.516,2.13,439.744,2.13,201.022,439.744,201.022,948.519,51766852.0,948.519,51766852.0,1571.22,6.103,1571.22,6.103,4634.095,-349.516,4634.095,-349.516,2.13
NMRK,2021Q3,195.693,128.549,195.693,636.298,50543019.0,636.298,50543019.0,1623.722,11.282,1623.722,11.282,5333.165,122.945,5333.165,122.945,0.63,128.549,0.63,195.693,128.549,195.693,636.298,50543019.0,636.298,50543019.0,1623.722,11.282,1623.722,11.282,5333.165,122.945,5333.165,122.945,0.63
NMRK,2021Q4,189.558,149.33,189.558,759.279,72164708.0,759.279,72164708.0,1664.193,19.721,1664.193,19.721,5216.201,184.262,5216.201,184.262,0.74,149.33,0.74,189.558,149.33,189.558,759.279,72164708.0,759.279,72164708.0,1664.193,19.721,1664.193,19.721,5216.201,184.262,5216.201,184.262,0.74
NMRK,2022Q1,189.843,0.362,189.843,541.951,84653994.0,541.951,84653994.0,1617.862,8.669,1617.862,8.669,4440.444,98.589,4440.444,98.589,0.0,0.362,0.0,189.843,0.362,189.843,541.951,84653994.0,541.951,84653994.0,1617.862,8.669,1617.862,8.669,4440.444,98.589,4440.444,98.589,0.0
NMRK,2022Q2,181.288,48.519,181.288,608.147,114098582.0,608.147,114098582.0,1521.0,17.529,1521.0,17.529,4614.991,104.446,4614.991,104.446,0.26,48.519,0.26,181.288,48.519,181.288,608.147,114098582.0,608.147,114098582.0,1521.0,17.529,1521.0,17.529,4614.991,104.446,4614.991,104.446,0.26
NMRK,2022Q3,171.817,27.967,171.817,557.239,80363695.0,557.239,80363695.0,1484.114,40.015,1484.114,40.015,4740.704,61.214,4740.704,61.214,0.15,27.967,0.15,171.817,27.967,171.817,557.239,80363695.0,557.239,80363695.0,1484.114,40.015,1484.114,40.015,4740.704,61.214,4740.704,61.214,0.15
NMRK,2022Q4,171.671,6.427,171.671,524.396,69338110.0,524.396,69338110.0,1524.865,62.189,1524.865,62.189,3940.759,33.384,3940.759,33.384,0.04,6.427,0.04,171.671,6.427,171.671,524.396,69338110.0,524.396,69338110.0,1524.865,62.189,1524.865,62.189,3940.759,33.384,3940.759,33.384,0.04
ASPS,2020Q1,15.559,-11.65,15.559,114.348,6828207.0,114.348,6828207.0,-31.524,0.511,-31.524,0.511,368.595,-1.23,368.595,-1.23,-0.75,-11.65,-0.75,15.559,-11.65,15.559,114.348,6828207.0,114.348,6828207.0,-31.524,0.511,-31.524,0.511,368.595,-1.23,368.595,-1.23,-0.75
ASPS,2020Q2,15.629,-35.061,15.629,100.905,10172308.0,100.905,10172308.0,-64.85,1.466,-64.85,1.466,328.349,-11.987,328.349,-11.987,-2.25,-35.061,-2.25,15.629,-35.061,15.629,100.905,10172308.0,100.905,10172308.0,-64.85,1.466,-64.85,1.466,328.349,-11.987,328.349,-11.987,-2.25
ASPS,2020Q3,15.646,-13.237,15.646,85.267,7593397.0,85.267,7593397.0,-76.578,2.502,-76.578,2.502,310.103,-4.587,310.103,-4.587,-0.85,-13.237,-0.85,15.646,-13.237,15.646,85.267,7593397.0,85.267,7593397.0,-76.578,2.502,-76.578,2.502,310.103,-4.587,310.103,-4.587,-0.85
ASPS,2020Q4,15.664,-7.208,15.664,67.8,3252457.0,67.8,3252457.0,-82.556,2.705,-82.556,2.705,265.685,-14.579,265.685,-14.579,-0.46,-7.208,-0.46,15.664,-7.208,15.664,67.8,3252457.0,67.8,3252457.0,-82.556,2.705,-82.556,2.705,265.685,-14.579,265.685,-14.579,-0.46
ASPS,2021Q1,15.795,-22.002,15.795,65.261,3120993.0,65.261,3120993.0,-105.258,0.467,-105.258,0.467,239.701,-18.579,239.701,-18.579,-1.4,-22.002,-1.4,15.795,-22.002,15.795,65.261,3120993.0,65.261,3120993.0,-105.258,0.467,-105.258,0.467,239.701,-18.579,239.701,-18.579,-1.4
ASPS,2021Q2,15.897,-18.475,15.897,56.531,13072908.0,56.531,13072908.0,-123.724,0.693,-123.724,0.693,222.116,-14.552,222.116,-14.552,-1.17,-18.475,-1.17,15.897,-18.475,15.897,56.531,13072908.0,56.531,13072908.0,-123.724,0.693,-123.724,0.693,222.116,-14.552,222.116,-14.552,-1.17
ASPS,2021Q3,15.899,-18.269,15.899,53.454,7352723.0,53.454,7352723.0,-141.683,1.125,-141.683,1.125,220.93,-14.028,220.93,-14.028,-1.15,-18.269,-1.15,15.899,-18.269,15.899,53.454,7352723.0,53.454,7352723.0,-141.683,1.125,-141.683,1.125,220.93,-14.028,220.93,-14.028,-1.15
ASPS,2021Q4,15.911,70.558,15.911,49.11,4892220.0,49.11,4892220.0,-68.87,1.379,-68.87,1.379,257.808,-12.803,257.808,-12.803,4.4,70.558,4.4,15.911,70.558,15.911,49.11,4892220.0,49.11,4892220.0,-68.87,1.379,-68.87,1.379,257.808,-12.803,257.808,-12.803,4.4
ASPS,2022Q1,16.057,-12.19,16.057,45.601,2876935.0,45.601,2876935.0,-80.887,0.074,-80.887,0.074,239.777,-8.327,239.777,-8.327,-0.76,-12.19,-0.76,16.057,-12.19,16.057,45.601,2876935.0,45.601,2876935.0,-80.887,0.074,-80.887,0.074,239.777,-8.327,239.777,-8.327,-0.76
ASPS,2022Q2,16.111,-15.495,16.111,48.708,4891879.0,48.708,4891879.0,-95.414,0.634,-95.414,0.634,224.839,-10.459,224.839,-10.459,-0.96,-15.495,-0.96,16.111,-15.495,16.111,48.708,4891879.0,48.708,4891879.0,-95.414,0.634,-95.414,0.634,224.839,-10.459,224.839,-10.459,-0.96
ASPS,2022Q3,16.117,-14.389,16.117,46.808,4483944.0,46.808,4483944.0,-108.52,0.863,-108.52,0.863,211.282,-10.563,211.282,-10.563,-0.89,-14.389,-0.89,16.117,-14.389,16.117,46.808,4483944.0,46.808,4483944.0,-108.52,0.863,-108.52,0.863,211.282,-10.563,211.282,-10.563,-0.89
ASPS,2022Q4,16.129,-11.344,16.129,36.374,6798913.0,36.374,6798913.0,-118.874,0.863,-118.874,0.863,195.005,-3.591,195.005,-3.591,-0.7,-11.344,-0.7,16.129,-11.344,16.129,36.374,6798913.0,36.374,6798913.0,-118.874,0.863,-118.874,0.863,195.005,-3.591,195.005,-3.591,-0.7
ASPS,2023Q1,20.815,-12.947,20.815,41.072,15455240.0,41.072,15455240.0,-110.397,0.0,-110.397,0.0,177.583,-3.59,177.583,-3.59,-0.7,-12.947,-0.7,20.815,-12.947,20.815,41.072,15455240.0,41.072,15455240.0,-110.397,0.0,-110.397,0.0,177.583,-3.59,177.583,-3.59,-0.7
ASPS,2023Q2,20.866,-18.85,20.866,40.109,6707680.0,40.109,6707680.0,-128.095,0.0,-128.095,0.0,164.556,-6.809,164.556,-6.809,-0.9,-18.85,-0.9,20.866,-18.85,20.866,40.109,6707680.0,40.109,6707680.0,-128.095,0.0,-128.095,0.0,164.556,-6.809,164.556,-6.809,-0.9
ASPS,2023Q3,26.482,-11.342,26.482,37.827,7075169.0,37.827,7075169.0,-112.934,0.0,-112.934,0.0,162.636,-3.545,162.636,-3.545,-0.51,-11.342,-0.51,26.482,-11.342,26.482,37.827,7075169.0,37.827,7075169.0,-112.934,0.0,-112.934,0.0,162.636,-3.545,162.636,-3.545,-0.51
ASPS,2023Q4,26.496,-13.151,26.496,35.252,7020916.0,35.252,7020916.0,-125.055,0.0,-125.055,0.0,154.858,-2.824,154.858,-2.824,-0.47,-13.151,-0.47,26.496,-13.151,26.496,35.252,7020916.0,35.252,7020916.0,-125.055,0.0,-125.055,0.0,154.858,-2.824,154.858,-2.824,-0.47
ASPS,2024Q1,26.953,-9.198,26.953,38.451,7817677.0,38.451,7817677.0,-132.698,0.0,-132.698,0.0,148.868,-0.548,148.868,-0.548,-0.33,-9.198,-0.33,26.953,-9.198,26.953,38.451,7817677.0,38.451,7817677.0,-132.698,0.0,-132.698,0.0,148.868,-0.548,148.868,-0.548,-0.33
ASPS,2024Q2,27.11,-8.307,27.11,35.492,7169147.0,35.492,7169147.0,-140.2,0.0,-140.2,0.0,146.557,2.083,146.557,2.083,-0.29,-8.307,-0.29,27.11,-8.307,27.11,35.492,7169147.0,35.492,7169147.0,-140.2,0.0,-140.2,0.0,146.557,2.083,146.557,2.083,-0.29
ASPS,2024Q3,27.171,-9.362,27.171,37.934,7310960.0,37.934,7310960.0,-148.686,0.0,-148.686,0.0,144.503,1.105,144.503,1.105,-0.33,-9.362,-0.33,27.171,-9.362,27.171,37.934,7310960.0,37.934,7310960.0,-148.686,0.0,-148.686,0.0,144.503,1.105,144.503,1.105,-0.33
ATMFF.1,2010Q1,20.576,0.859,20.576,4.895,39543.0,4.895,39543.0,56.215,0.148,56.215,0.148,92.529,0.957,92.529,0.957,0.04,0.859,0.04,20.576,0.859,20.576,4.895,39543.0,4.895,39543.0,56.215,0.148,56.215,0.148,92.529,0.957,92.529,0.957,0.04
ATMFF.1,2010Q2,20.576,0.496,20.576,3.673,39152.0,3.673,39152.0,56.824,0.148,56.824,0.148,71.665,0.803,71.665,0.803,0.02,0.496,0.02,20.576,0.496,20.576,3.673,39152.0,3.673,39152.0,56.824,0.148,56.824,0.148,71.665,0.803,71.665,0.803,0.02
ATMFF.1,2010Q3,20.576,0.434,20.576,4.279,7560.0,4.279,7560.0,57.14,0.148,57.14,0.148,71.979,0.591,71.979,0.591,0.02,0.434,0.02,20.576,0.434,20.576,4.279,7560.0,4.279,7560.0,57.14,0.148,57.14,0.148,71.979,0.591,71.979,0.591,0.02
ATMFF.1,2010Q4,20.576,2.424,20.576,2.387,5600.0,2.387,5600.0,59.717,0.929,59.717,0.929,71.506,0.62,71.506,0.62,0.11,2.424,0.11,20.576,2.424,20.576,2.387,5600.0,2.387,5600.0,59.717,0.929,59.717,0.929,71.506,0.62,71.506,0.62,0.11
ATMFF.1,2011Q1,20.576,0.743,20.576,3.321,6608.0,3.321,6608.0,60.585,0.0,60.585,0.0,71.881,1.106,71.881,1.106,0.03,0.743,0.03,20.576,0.743,20.576,3.321,6608.0,3.321,6608.0,60.585,0.0,60.585,0.0,71.881,1.106,71.881,1.106,0.03
ATMFF.1,2011Q2,20.576,3.225,20.576,3.603,167337.0,3.603,167337.0,48.45,0.0,48.45,0.0,58.724,0.372,58.724,0.372,0.16,3.225,0.16,20.576,3.225,20.576,3.603,167337.0,3.603,167337.0,48.45,0.0,48.45,0.0,58.724,0.372,58.724,0.372,0.16
ATMFF.1,2011Q3,20.576,1.45,20.576,1.791,5585.0,1.791,5585.0,49.802,0.0,49.802,0.0,58.983,0.354,58.983,0.354,0.07,1.45,0.07,20.576,1.45,20.576,1.791,5585.0,1.791,5585.0,49.802,0.0,49.802,0.0,58.983,0.354,58.983,0.354,0.07
ATMFF.1,2011Q4,20.576,0.079,20.576,1.918,3400.0,1.918,3400.0,49.567,0.0,49.567,0.0,57.394,1.245,57.394,1.245,0.01,0.079,0.01,20.576,0.079,20.576,1.918,3400.0,1.918,3400.0,49.567,0.0,49.567,0.0,57.394,1.245,57.394,1.245,0.01
ATMFF.1,2012Q1,20.576,0.183,20.576,2.102,15567.0,2.102,15567.0,51.735,0.052,51.735,0.052,59.885,0.47,59.885,0.47,0.01,0.183,0.01,20.576,0.183,20.576,2.102,15567.0,2.102,15567.0,51.735,0.052,51.735,0.052,59.885,0.47,59.885,0.47,0.01
ATMFF.1,2012Q2,20.576,0.188,20.576,1.678,158687.0,1.678,158687.0,36.651,0.246,36.651,0.246,45.076,0.231,45.076,0.231,0.01,0.188,0.01,20.576,0.188,20.576,1.678,158687.0,1.678,158687.0,36.651,0.246,36.651,0.246,45.076,0.231,45.076,0.231,0.01
ATMFF.1,2012Q3,20.576,6.173,20.576,2.44,11254.0,2.44,11254.0,42.653,0.312,42.653,0.312,51.462,0.334,51.462,0.334,0.3,6.173,0.3,20.576,6.173,20.576,2.44,11254.0,2.44,11254.0,42.653,0.312,42.653,0.312,51.462,0.334,51.462,0.334,0.3
ATMFF.1,2012Q4,20.576,1.449,20.576,0.641,1619.0,0.641,1619.0,44.107,0.478,44.107,0.478,51.307,0.641,51.307,0.641,0.07,1.449,0.07,20.576,1.449,20.576,0.641,1619.0,0.641,1619.0,44.107,0.478,44.107,0.478,51.307,0.641,51.307,0.641,0.07
ATMFF.1,2013Q1,20.576,0.074,20.576,0.518,4900.0,0.518,4900.0,44.314,0.0,44.314,0.0,51.381,0.165,51.381,0.165,0.0,0.074,0.0,20.576,0.074,20.576,0.518,4900.0,0.518,4900.0,44.314,0.0,44.314,0.0,51.381,0.165,51.381,0.165,0.0
ATMFF.1,2013Q2,20.576,6.061,20.576,0.644,59714.0,0.644,59714.0,50.571,0.0,50.571,0.0,56.425,0.138,56.425,0.138,0.3,6.061,0.3,20.576,6.061,20.576,0.644,59714.0,0.644,59714.0,50.571,0.0,50.571,0.0,56.425,0.138,56.425,0.138,0.3
ATMFF.1,2013Q3,20.576,0.721,20.576,1.028,28586.0,1.028,28586.0,51.386,0.0,51.386,0.0,57.335,0.381,57.335,0.381,0.03,0.721,0.03,20.576,0.721,20.576,1.028,28586.0,1.028,28586.0,51.386,0.0,51.386,0.0,57.335,0.381,57.335,0.381,0.03
ATMFF.1,2013Q4,20.576,0.061,20.576,0.671,2322.0,0.671,2322.0,51.476,0.192,51.476,0.192,57.71,0.098,57.71,0.098,0.01,0.061,0.01,20.576,0.061,20.576,0.671,2322.0,0.671,2322.0,51.476,0.192,51.476,0.192,57.71,0.098,57.71,0.098,0.01
ATMFF.1,2014Q1,20.576,0.335,20.576,0.305,9840.0,0.305,9840.0,52.149,0.111,52.149,0.111,58.093,0.261,58.093,0.261,0.02,0.335,0.02,20.576,0.335,20.576,0.305,9840.0,0.305,9840.0,52.149,0.111,52.149,0.111,58.093,0.261,58.093,0.261,0.02
ATMFF.1,2014Q2,20.576,0.065,20.576,0.294,11334.0,0.294,11334.0,52.44,0.118,52.44,0.118,58.22,0.108,58.22,0.108,0.0,0.065,0.0,20.576,0.065,20.576,0.294,11334.0,0.294,11334.0,52.44,0.118,52.44,0.118,58.22,0.108,58.22,0.108,0.0
ATMFF.1,2014Q3,20.576,0.088,20.576,0.292,5685.0,0.292,5685.0,52.589,0.159,52.589,0.159,58.285,0.132,58.285,0.132,0.0,0.088,0.0,20.576,0.088,20.576,0.292,5685.0,0.292,5685.0,52.589,0.159,52.589,0.159,58.285,0.132,58.285,0.132,0.0
ATMFF.1,2014Q4,20.576,-0.656,20.576,0.283,7055.0,0.283,7055.0,51.923,0.364,51.923,0.364,57.739,0.102,57.739,0.102,-0.03,-0.656,-0.03,20.576,-0.656,20.576,0.283,7055.0,0.283,7055.0,51.923,0.364,51.923,0.364,57.739,0.102,57.739,0.102,-0.03
ATMFF.1,2015Q1,20.576,0.039,20.576,0.318,6300.0,0.318,6300.0,52.062,0.003,52.062,0.003,57.539,0.095,57.539,0.095,0.0,0.039,0.0,20.576,0.039,20.576,0.318,6300.0,0.318,6300.0,52.062,0.003,52.062,0.003,57.539,0.095,57.539,0.095,0.0
